"aclevel","gender","experAI","familAI","imporAI","roleAI","useAI","experAIc","familAIc","imporAIc","roleAIc","useAIc","aclevelc"
2,0,1,4,5,4.44,8,0,0.05,1,1,0.99,0
5,0,1,2.67,5,4.59,8,0,0.03,1,1,0.99,1
1,1,1,1,3.33,4.39,8,0,0,0.69,1,0.99,0
3,0,1,2,5,4.22,8,0,0.01,1,1,0.99,1
5,1,1,2,3.33,3.62,8,0,0.01,0.69,0.84,0.99,1
2,0,1,2,3,3.58,8,0,0.01,0.12,0.8,0.99,0
5,0,1,3.67,4.33,3.69,8,0,0.05,1,0.89,0.99,1
1,1,1,3,3,4.24,8,0,0.04,0.12,1,0.99,0
3,0,1,3,3.33,3.47,8,0,0.04,0.69,0.66,0.99,1
1,0,1,3.67,4,4.9,8,0,0.05,0.99,1,0.99,0
3,1,1,1,3,3.5,8,0,0,0.12,0.7,0.99,1
3,1,1,1,1.67,3.79,8,0,0,0,0.94,0.99,1
3,1,1,1.33,4.33,3.98,8,0,0,1,0.98,0.99,1
2,1,1,1,4,4.12,8,0,0,0.99,0.99,0.99,0
3,1,1,1,4,4,8,0,0,0.99,0.98,0.99,1
1,1,1,1,3.67,4.42,8,0,0,0.94,1,0.99,0
3,1,1,1,3,3.91,8,0,0,0.12,0.97,0.99,1
2,0,1,3,5,4.34,7,0,0.04,1,1,0.97,0
2,1,1,1,4,3.63,7,0,0,0.99,0.84,0.97,0
1,1,1,1,5,3.84,7,0,0,1,0.96,0.97,0
4,0,1,1,4,4.1,7,0,0,0.99,0.99,0.97,1
1,1,1,1,5,4.02,7,0,0,1,0.99,0.97,0
1,0,1,2.67,4.33,3.46,7,0,0.03,1,0.64,0.97,0
2,1,1,2,4,4.24,7,0,0.01,0.99,1,0.97,0
2,0,1,3.33,4,3.84,7,0,0.04,0.99,0.96,0.97,0
3,1,1,1,5,3.92,7,0,0,1,0.97,0.97,1
1,0,1,3,4.67,3.87,7,0,0.04,1,0.96,0.97,0
3,1,1,1.67,3,3.84,7,0,0,0.12,0.96,0.97,1
2,0,1,3,5,3.98,6,0,0.04,1,0.98,0.92,0
5,0,1,2.33,3,3.38,6,0,0.02,0.12,0.52,0.92,1
3,1,1,1.67,3.33,3.21,6,0,0,0.69,0.21,0.92,1
3,1,1,1.33,3.67,3.3,6,0,0,0.94,0.36,0.92,1
3,1,1,1.67,4.67,4.06,6,0,0,1,0.99,0.92,1
4,0,1,2.33,2.67,4.06,6,0,0.02,0,0.99,0.92,1
1,0,1,3,4,3.29,6,0,0.04,0.99,0.34,0.92,0
3,1,1,1,2.67,3.74,6,0,0,0,0.92,0.92,1
1,1,1,1,3,3.13,6,0,0,0.12,0.12,0.92,0
3,1,1,2.67,4,3.4,5,0,0.03,0.99,0.55,0.82,1
4,1,1,1,3,3.62,5,0,0,0.12,0.84,0.82,1
3,1,1,2.67,3.33,3.48,5,0,0.03,0.69,0.67,0.82,1
3,1,1,2.67,2.33,3.47,5,0,0.03,0,0.66,0.82,1
