"aclevel","gender","experAI","familAI","imporAI","roleAI","useAI","experAIc","imporAIc","familAIc","roleAIc","useAIc","aclevelc"
2,0,1.33,4.33,5,4.52,8,1,1,1,1,0.99,0
2,1,2,4,4.33,4.62,6,1,1,1,1,0.9,0
2,0,3,3.67,3.67,3.57,5,1,0.95,1,0.84,0.68,0
3,0,1,3.33,4,3.83,8,0.05,0.99,1,0.96,0.99,1
1,1,1,4,3,3.61,4,0.05,0.18,1,0.87,0.42,0
1,0.65,1,3.33,3,3.34,8,0.05,0.18,1,0.59,0.99,0
1,0,1,4.33,3,3,0,0.05,0.18,1,0.05,0.05,0
1,1,1,4.33,3,3,0,0.05,0.18,1,0.05,0.05,0
3,0,1,3.33,3,3,0,0.05,0.18,1,0.05,0.05,1
1,0,1,3,4.67,4.13,8,0.05,1,1,0.99,0.99,0
3,0,3.67,3,3,3,0,1,0.18,1,0.05,0.05,1
3,1,2.33,3,3.67,3,0,1,0.95,1,0.05,0.05,1
1,0,1,3,3,3,0,0.05,0.18,1,0.05,0.05,0
2,0,1,2.67,3.33,4.21,0,0.05,0.76,1,1,0.05,0
4,1,1.67,2.67,4,3.68,4,1,0.99,1,0.91,0.42,1
3,1,1,2.67,5,3.94,8,0.05,1,1,0.98,0.99,1
2,1,1.33,2.67,4,3.29,5,1,0.99,1,0.51,0.68,0
3,1,2,2.67,4,3.74,8,1,0.99,1,0.93,0.99,1
3,1,1,2.67,3.67,3.94,5,0.05,0.95,1,0.98,0.68,1
3,1,2,2.67,4,3.26,7,1,0.99,1,0.45,0.98,1
2,1,1.67,2.67,4,3,0,1,0.99,1,0.05,0.05,0
3,1,2,2.67,3.67,3,0,1,0.95,1,0.05,0.05,1
3,1,1.33,2.67,4,3,0,1,0.99,1,0.05,0.05,1
3,1,2,2.33,3.33,3.79,8,1,0.76,0.98,0.95,0.99,1
3,1,1,2.33,4,3.91,8,0.05,0.99,0.98,0.97,0.99,1
2,1,1.67,2.33,3.67,3.13,7,1,0.95,0.98,0.17,0.98,0
3,1,2,2.33,3.67,3.8,5,1,0.95,0.98,0.95,0.68,1
2,0,1,2.33,3.67,2.97,5,0.05,0.95,0.98,0.04,0.68,0
3,1,1,2.33,3.33,3.09,7,0.05,0.76,0.98,0.12,0.98,1
3,0,1,2.33,4,4.01,5,0.05,0.99,0.98,0.99,0.68,1
2,1,1,2.33,4.33,3.69,8,0.05,1,0.98,0.91,0.99,0
1,1,1,2.33,3,3.38,5,0.05,0.18,0.98,0.64,0.68,0
1,0,1,2.33,5,4.04,7,0.05,1,0.98,0.99,0.98,0
3,0,1,2.33,4.67,3.94,7,0.05,1,0.98,0.98,0.98,1
3,0,1,2.33,3.67,3.62,7,0.05,0.95,0.98,0.88,0.98,1
1,0,1.33,2.33,3.67,3,0,1,0.95,0.98,0.05,0.05,0
3,1,1.33,2.33,3,3,0,1,0.18,0.98,0.05,0.05,1
5,0,1,2.33,3,3,0,0.05,0.18,0.98,0.05,0.05,1
5,1,1,2,5,2.64,3,0.05,1,0.92,0,0.27,1
5,1,1.33,2,3,3.48,7,1,0.18,0.92,0.76,0.98,1
2,0,1,2,4,3.29,5,0.05,0.99,0.92,0.51,0.68,0
4,0,1,2,3.67,2.88,6,0.05,0.95,0.92,0.02,0.9,1
5,1,1,2,3.33,3.69,5,0.05,0.76,0.92,0.91,0.68,1
3,0,1,2,4,3.83,6,0.05,0.99,0.92,0.96,0.9,1
1,1,1,2,4,3.4,6,0.05,0.99,0.92,0.67,0.9,0
2,0,1,2,3,4.14,8,0.05,0.18,0.92,0.99,0.99,0
2,1,1.67,2,3.67,3.36,7,1,0.95,0.92,0.61,0.98,0
3,1,1,2,4,3.79,5,0.05,0.99,0.92,0.95,0.68,1
